Safe Ingredients:
[AQUA (WATER), CAPRYLIC/CAPRIC TRIGLYCERIDE, CETYL ALCOHOL, PROPANEDIOL, STEARYL ALCOHOL, GLYCERIN, SODIUM HYALURONATE, ARGININE, ASPARTIC ACID, GLYCINE, ALANINE, SERINE, VALINE, ISOLEUCINE, PROLINE, THREONINE, HISTIDINE, PHENYLALANINE, GLUCOSE, MALTOSE, FRUCTOSE, TREHALOSE, SODIUM PCA, PCA, SODIUM LACTATE, UREA, ALLANTOIN, LINOLEIC ACID, OLEIC ACID, PHYTOSTERYL CANOLA GLYCERIDES, PALMITIC ACID, Petrolatum, Mineral Oil, Paraffin, Water, Glycerin, Stearic Acid, Isopropyl Myristate, Coconut Oil, Shea Butter, Jojoba Oil, Aloe Vera, Vitamin E, Chamomile Extract, Dimethicone, Benzyl Alcohol, Phenoxyethanol, Ethylhexylglycerin, Retinol, Retinyl Palmitate, Ascorbic Acid, Niacinamide, Titanium Dioxide, Zinc Oxide, Tea Tree Oil, Lavender Oil, Eucalyptus Oil, Panthenol (Vitamin B5), Niacinamide (Vitamin B3), Lactic Acid, Citric Acid, Salicylic Acid, Green Tea Extract, Beeswax, Glycerin;Panthenol;Allantoin, Aloe Vera;Glycerin;Vitamin E, Water;Sodium PCA;Lactic Acid, Coconut Oil;Aloe Vera;Shea Butter, Petrolatum;Glycerin;Cetearyl Alcohol, Cetearyl Alcohol;Sodium Hyaluronate;Allantoin, Water;Glycerin;Niacinamide, Water;Aloe Vera;Allantoin, Glycerin;Panthenol;Niacinamide, Aloe Vera;Vitamin E;Allantoin, Coconut Oil;Shea Butter;Vitamin E, Water;Glycerin;Sodium Hyaluronate, Water;Cetearyl Alcohol;Aloe Vera, Water;Niacinamide;Lactic Acid, Petrolatum;Mineral Oil;Aloe Vera, Water;Glycerin;Dimethicone, Coconut Oil;Shea Butter;Allantoin, Water;Niacinamide;Vitamin E, Aloe Vera;Panthenol;Allantoin, Water;Glycerin;Chamomile Extract, Water;Sodium Hyaluronate;Niacinamide, Cetearyl Alcohol;Dimethicone;Allantoin, Glycerin;Panthenol;Aloe Vera, Water;Cetearyl Alcohol;Shea Butter, Water;Glycerin;Shea Butter, Coconut Oil;Aloe Vera;Vitamin E, Water;Glycerin;Panthenol, Water;Niacinamide;Allantoin, Aloe Vera;Chamomile Extract;Vitamin E, Water;Sodium Hyaluronate;Chamomile Extract, Cetearyl Alcohol;Glycerin;Dimethicone, Water;Cetearyl Alcohol;Panthenol, Water;Shea Butter;Allantoin, Petrolatum;Mineral Oil;Dimethicone, Coconut Oil;Aloe Vera;Niacinamide, Water;Niacinamide;Chamomile Extract, Aloe Vera;Glycerin;Vitamin E, Cetearyl Alcohol;Glycerin;Allantoin, Water;Sodium Hyaluronate;Panthenol, Coconut Oil;Avocado Oil, Keratin;Collagen, Soybean Oil;Sweet Almond Oil, Sodium Benzoate, Witch Hazel;Rose Water, Isopropyl Myristate, Mica;Iron Oxides, Sodium Chloride;Magnesium Sulfate, Cetearyl Alcohol;Stearyl Alcohol, Green Tea Extract;White Tea Extract, Calendula Extract;Chamomile Extract, Grapefruit Seed Extract, Cocoa Butter;Shea Butter, Squalane;Squalene, Aloe Vera;Cucumber Extract, Hyaluronic Acid;Glycerin, Peptides;Ceramides, Silica;Dimethicone, Cocamidopropyl Betaine]
Unsafe Ingredients:
[Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Parfum, Limonene, Linalool, Oxybenzone, Octinoxate, Homosalate, Triclosan, Triclocarban, Formaldehyde, DMDM Hydantoin, Quaternium-15, Lead, Mercury, Cadmium, Parabens, Methylparaben, Propylparaben, Polyethylene Glycol (PEG), Stearate, Laurate, BHT, BHA, Sodium Laureth Sulfate (SLES), Cocamide DEA, Butylparaben, Dibutyl phthalate (DBP), Diethyl phthalate (DEP), Imidazolidinyl urea, Toluene, Arsenic, Hydroquinone, Synthetic musks, p-phenylenediamine (PPD), Coal Tar, Benzene, Sulfites, Metabisulfites, Petroleum Distillates, Aluminum Chlorohydrate, Fragrance, Resorcinol, DEA (Diethanolamine), Triclosan, Methylisothiazolinone, Methylchloroisothiazolinone, Polyethylene Glycol (PEG) Compounds, Diethanolamine (DEA), Triethanolamine (TEA), Talc, Ammonium Persulfate, Phenol, Sodium Hydroxymethylglycinate, Benzalkonium Chloride, Mercury Compounds, Mineral Oil, Paraffin, Hexyl Cinnamal, Formaldehyde, Isobutane, Propane, Nitrosamines]



Ingredients,Classification,Description
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Formaldehyde,Unsafe,"Preservatives linked to endocrine disruption and cancer."
Oxybenzone;Octinoxate;Cocamide DEA,Unsafe,"Chemical sunscreens and surfactants linked to hormone disruption and irritation."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Sodium Lauryl Sulfate;Triclosan;Parfum,Unsafe,"Irritating surfactants and fragrance components linked to hormone disruption and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Vitamin E,Safe,"Natural moisturizers and antioxidants; generally considered safe."
Water;Glycerin;Panthenol,Safe,"Hydrating and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Allantoin,Safe,"Hydrating and brightening agents; generally considered safe."
Aloe Vera;Chamomile Extract;Vitamin E,Safe,"Soothing and antioxidant ingredients; generally considered safe."
Water;Sodium Hyaluronate;Chamomile Extract,Safe,"Hydrating and soothing ingredients; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Cetearyl Alcohol;Panthenol,Safe,"Moisturizing and conditioning agents; generally considered safe."
Water;Shea Butter;Allantoin,Safe,"Moisturizing and skin-soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Cocamide DEA,Unsafe,"Preservatives and surfactants linked to endocrine disruption and carcinogenicity."
Triclosan;Formaldehyde;DMDM Hydantoin,Unsafe,"Antibacterial agents and preservatives linked to hormone disruption and cancer."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Oxybenzone;Octinoxate;Triclocarban,Unsafe,"Chemical sunscreens and antibacterial agents linked to hormone disruption."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Panthenol,Safe,"Natural moisturizers and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Allantoin,Safe,"Emollients and skin-soothing agents; generally considered safe."
Water;Glycerin;Dimethicone,Safe,"Hydrating and moisturizing agents; generally considered safe."
Water;Aloe Vera;Shea Butter,Safe,"Moisturizing and soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Cetearyl Alcohol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Niacinamide,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Methylparaben;Polyethylene Glycol (PEG),Unsafe,"Preservatives and surfactants linked to endocrine disruption."
Sodium Lauryl Sulfate;Triclosan;BHA,Unsafe,"Irritating surfactants and antioxidants linked to hormone disruption and cancer."
Oxybenzone;Octinoxate;Formaldehyde,Unsafe,"Chemical sunscreens and preservatives linked to hormone disruption and cancer."
Lead;Mercury;DMDM Hydantoin,Unsafe,"Heavy metals and preservatives linked to neurological damage and carcinogenicity."
Triclocarban;Quaternium-15;Parfum,Unsafe,"Antibacterial agents and fragrance components linked to irritation and allergies."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Petrolatum;Glycerin;Panthenol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Allantoin,Safe,"Hydrating and skin-soothing agents; generally considered safe."
Coconut Oil;Aloe Vera;Niacinamide,Safe,"Natural moisturizers and brightening agents; generally considered safe."
Water;Cetearyl Alcohol;Chamomile Extract,Safe,"Moisturizing and soothing agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Formaldehyde,Unsafe,"Preservatives linked to endocrine disruption and cancer."
Oxybenzone;Octinoxate;Cocamide DEA,Unsafe,"Chemical sunscreens and surfactants linked to hormone disruption and irritation."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Sodium Lauryl Sulfate;Triclosan;Parfum,Unsafe,"Irritating surfactants and fragrance components linked to hormone disruption and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Vitamin E,Safe,"Natural moisturizers and antioxidants; generally considered safe."
Water;Glycerin;Panthenol,Safe,"Hydrating and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Allantoin,Safe,"Hydrating and brightening agents; generally considered safe."
Aloe Vera;Chamomile Extract;Vitamin E,Safe,"Soothing and antioxidant ingredients; generally considered safe."
Water;Sodium Hyaluronate;Chamomile Extract,Safe,"Hydrating and soothing ingredients; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Cetearyl Alcohol;Panthenol,Safe,"Moisturizing and conditioning agents; generally considered safe."
Water;Shea Butter;Allantoin,Safe,"Moisturizing and skin-soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Cocamide DEA,Unsafe,"Preservatives and surfactants linked to endocrine disruption and carcinogenicity."
Triclosan;Formaldehyde;DMDM Hydantoin,Unsafe,"Antibacterial agents and preservatives linked to hormone disruption and cancer."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Oxybenzone;Octinoxate;Triclocarban,Unsafe,"Chemical sunscreens and antibacterial agents linked to hormone disruption."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Panthenol,Safe,"Natural moisturizers and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Allantoin,Safe,"Emollients and skin-soothing agents; generally considered safe."
Water;Glycerin;Dimethicone,Safe,"Hydrating and moisturizing agents; generally considered safe."
Water;Aloe Vera;Shea Butter,Safe,"Moisturizing and soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Cetearyl Alcohol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Niacinamide,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Methylparaben;Polyethylene Glycol (PEG),Unsafe,"Preservatives and surfactants linked to endocrine disruption."
Sodium Lauryl Sulfate;Triclosan;BHA,Unsafe,"Irritating surfactants and antioxidants linked to hormone disruption and cancer."
Oxybenzone;Octinoxate;Formaldehyde,Unsafe,"Chemical sunscreens and preservatives linked to hormone disruption and cancer."
Lead;Mercury;DMDM Hydantoin,Unsafe,"Heavy metals and preservatives linked to neurological damage and carcinogenicity."
Triclocarban;Quaternium-15;Parfum,Unsafe,"Antibacterial agents and fragrance components linked to irritation and allergies."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Petrolatum;Glycerin;Panthenol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Allantoin,Safe,"Hydrating and skin-soothing agents; generally considered safe."
Coconut Oil;Aloe Vera;Niacinamide,Safe,"Natural moisturizers and brightening agents; generally considered safe."
Water;Cetearyl Alcohol;Chamomile Extract,Safe,"Moisturizing and soothing agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Formaldehyde,Unsafe,"Preservatives linked to endocrine disruption and cancer."
Oxybenzone;Octinoxate;Cocamide DEA,Unsafe,"Chemical sunscreens and surfactants linked to hormone disruption and irritation."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Sodium Lauryl Sulfate;Triclosan;Parfum,Unsafe,"Irritating surfactants and fragrance components linked to hormone disruption and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Vitamin E,Safe,"Natural moisturizers and antioxidants; generally considered safe."
Water;Glycerin;Panthenol,Safe,"Hydrating and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Allantoin,Safe,"Hydrating and brightening agents; generally considered safe."
Aloe Vera;Chamomile Extract;Vitamin E,Safe,"Soothing and antioxidant ingredients; generally considered safe."
Water;Sodium Hyaluronate;Chamomile Extract,Safe,"Hydrating and soothing ingredients; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Cetearyl Alcohol;Panthenol,Safe,"Moisturizing and conditioning agents; generally considered safe."
Water;Shea Butter;Allantoin,Safe,"Moisturizing and skin-soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Cocamide DEA,Unsafe,"Preservatives and surfactants linked to endocrine disruption and carcinogenicity."
Triclosan;Formaldehyde;DMDM Hydantoin,Unsafe,"Antibacterial agents and preservatives linked to hormone disruption and cancer."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Oxybenzone;Octinoxate;Triclocarban,Unsafe,"Chemical sunscreens and antibacterial agents linked to hormone disruption."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Panthenol,Safe,"Natural moisturizers and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Allantoin,Safe,"Emollients and skin-soothing agents; generally considered safe."
Water;Glycerin;Dimethicone,Safe,"Hydrating and moisturizing agents; generally considered safe."
Water;Aloe Vera;Shea Butter,Safe,"Moisturizing and soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Cetearyl Alcohol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Niacinamide,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Methylparaben;Polyethylene Glycol (PEG),Unsafe,"Preservatives and surfactants linked to endocrine disruption."
Sodium Lauryl Sulfate;Triclosan;BHA,Unsafe,"Irritating surfactants and antioxidants linked to hormone disruption and cancer."
Oxybenzone;Octinoxate;Formaldehyde,Unsafe,"Chemical sunscreens and preservatives linked to hormone disruption and cancer."
Lead;Mercury;DMDM Hydantoin,Unsafe,"Heavy metals and preservatives linked to neurological damage and carcinogenicity."
Triclocarban;Quaternium-15;Parfum,Unsafe,"Antibacterial agents and fragrance components linked to irritation and allergies."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Petrolatum;Glycerin;Panthenol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Allantoin,Safe,"Hydrating and skin-soothing agents; generally considered safe."
Coconut Oil;Aloe Vera;Niacinamide,Safe,"Natural moisturizers and brightening agents; generally considered safe."
Water;Cetearyl Alcohol;Chamomile Extract,Safe,"Moisturizing and soothing agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Formaldehyde,Unsafe,"Preservatives linked to endocrine disruption and cancer."
Oxybenzone;Octinoxate;Cocamide DEA,Unsafe,"Chemical sunscreens and surfactants linked to hormone disruption and irritation."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Sodium Lauryl Sulfate;Triclosan;Parfum,Unsafe,"Irritating surfactants and fragrance components linked to hormone disruption and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Vitamin E,Safe,"Natural moisturizers and antioxidants; generally considered safe."
Water;Glycerin;Panthenol,Safe,"Hydrating and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Allantoin,Safe,"Hydrating and brightening agents; generally considered safe."
Aloe Vera;Chamomile Extract;Vitamin E,Safe,"Soothing and antioxidant ingredients; generally considered safe."
Water;Sodium Hyaluronate;Chamomile Extract,Safe,"Hydrating and soothing ingredients; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Cetearyl Alcohol;Panthenol,Safe,"Moisturizing and conditioning agents; generally considered safe."
Water;Shea Butter;Allantoin,Safe,"Moisturizing and skin-soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Cocamide DEA,Unsafe,"Preservatives and surfactants linked to endocrine disruption and carcinogenicity."
Triclosan;Formaldehyde;DMDM Hydantoin,Unsafe,"Antibacterial agents and preservatives linked to hormone disruption and cancer."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Oxybenzone;Octinoxate;Triclocarban,Unsafe,"Chemical sunscreens and antibacterial agents linked to hormone disruption."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Panthenol,Safe,"Natural moisturizers and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Allantoin,Safe,"Emollients and skin-soothing agents; generally considered safe."
Water;Glycerin;Dimethicone,Safe,"Hydrating and moisturizing agents; generally considered safe."
Water;Aloe Vera;Shea Butter,Safe,"Moisturizing and soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Cetearyl Alcohol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Niacinamide,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Methylparaben;Polyethylene Glycol (PEG),Unsafe,"Preservatives and surfactants linked to endocrine disruption."
Sodium Lauryl Sulfate;Triclosan;BHA,Unsafe,"Irritating surfactants and antioxidants linked to hormone disruption and cancer."
Oxybenzone;Octinoxate;Formaldehyde,Unsafe,"Chemical sunscreens and preservatives linked to hormone disruption and cancer."
Lead;Mercury;DMDM Hydantoin,Unsafe,"Heavy metals and preservatives linked to neurological damage and carcinogenicity."
Triclocarban;Quaternium-15;Parfum,Unsafe,"Antibacterial agents and fragrance components linked to irritation and allergies."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Petrolatum;Glycerin;Panthenol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Allantoin,Safe,"Hydrating and skin-soothing agents; generally considered safe."
Coconut Oil;Aloe Vera;Niacinamide,Safe,"Natural moisturizers and brightening agents; generally considered safe."
Water;Cetearyl Alcohol;Chamomile Extract,Safe,"Moisturizing and soothing agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Formaldehyde,Unsafe,"Preservatives linked to endocrine disruption and cancer."
Oxybenzone;Octinoxate;Cocamide DEA,Unsafe,"Chemical sunscreens and surfactants linked to hormone disruption and irritation."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Sodium Lauryl Sulfate;Triclosan;Parfum,Unsafe,"Irritating surfactants and fragrance components linked to hormone disruption and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Vitamin E,Safe,"Natural moisturizers and antioxidants; generally considered safe."
Water;Glycerin;Panthenol,Safe,"Hydrating and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Allantoin,Safe,"Hydrating and brightening agents; generally considered safe."
Aloe Vera;Chamomile Extract;Vitamin E,Safe,"Soothing and antioxidant ingredients; generally considered safe."
Water;Sodium Hyaluronate;Chamomile Extract,Safe,"Hydrating and soothing ingredients; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Cetearyl Alcohol;Panthenol,Safe,"Moisturizing and conditioning agents; generally considered safe."
Water;Shea Butter;Allantoin,Safe,"Moisturizing and skin-soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Cocamide DEA,Unsafe,"Preservatives and surfactants linked to endocrine disruption and carcinogenicity."
Triclosan;Formaldehyde;DMDM Hydantoin,Unsafe,"Antibacterial agents and preservatives linked to hormone disruption and cancer."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Oxybenzone;Octinoxate;Triclocarban,Unsafe,"Chemical sunscreens and antibacterial agents linked to hormone disruption."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Panthenol,Safe,"Natural moisturizers and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Allantoin,Safe,"Emollients and skin-soothing agents; generally considered safe."
Water;Glycerin;Dimethicone,Safe,"Hydrating and moisturizing agents; generally considered safe."
Water;Aloe Vera;Shea Butter,Safe,"Moisturizing and soothing agents; generally considered safe."
Petrolatum;Mineral Oil;Cetearyl Alcohol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Niacinamide,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Methylparaben;Polyethylene Glycol (PEG),Unsafe,"Preservatives and surfactants linked to endocrine disruption."
Sodium Lauryl Sulfate;Triclosan;BHA,Unsafe,"Irritating surfactants and antioxidants linked to hormone disruption and cancer."
Oxybenzone;Octinoxate;Formaldehyde,Unsafe,"Chemical sunscreens and preservatives linked to hormone disruption and cancer."
Lead;Mercury;DMDM Hydantoin,Unsafe,"Heavy metals and preservatives linked to neurological damage and carcinogenicity."
Triclocarban;Quaternium-15;Parfum,Unsafe,"Antibacterial agents and fragrance components linked to irritation and allergies."
Sodium Laureth Sulfate (SLES);Limonene;Linalool,Unsafe,"Surfactants and fragrance components that can cause irritation and allergies."
Petrolatum;Glycerin;Panthenol,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Glycerin;Allantoin,Safe,"Hydrating and skin-soothing agents; generally considered safe."
Coconut Oil;Aloe Vera;Niacinamide,Safe,"Natural moisturizers and brightening agents; generally considered safe."
Water;Cetearyl Alcohol;Chamomile Extract,Safe,"Moisturizing and soothing agents; generally considered safe."
Cetearyl Alcohol;Glycerin;Dimethicone,Safe,"Emollients and moisturizers; generally considered safe."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Petrolatum;Mineral Oil;Dimethicone,Safe,"Common moisturizing agents in cosmetics; generally considered safe."
Water;Niacinamide;Chamomile Extract,Safe,"Hydrating and brightening agents; generally considered safe."
Parabens;Polyethylene Glycol (PEG);Sodium Lauryl Sulfate,Unsafe,"Preservatives and surfactants linked to endocrine disruption and irritation."
Methylparaben;Propylparaben;Formaldehyde,Unsafe,"Preservatives linked to endocrine disruption and cancer."
Oxybenzone;Octinoxate;Cocamide DEA,Unsafe,"Chemical sunscreens and surfactants linked to hormone disruption and irritation."
Lead;Mercury;BHA,Unsafe,"Heavy metals and antioxidants linked to neurological damage and cancer."
Sodium Lauryl Sulfate;Triclosan;Parfum,Unsafe,"Irritating surfactants and fragrance components linked to hormone disruption and allergies."
Water;Glycerin;Shea Butter,Safe,"Hydrating and moisturizing agents; generally considered safe."
Coconut Oil;Aloe Vera;Vitamin E,Safe,"Natural moisturizers and antioxidants; generally considered safe."
Water;Glycerin;Panthenol,Safe,"Hydrating and skin-conditioning agents; generally considered safe."
Water;Niacinamide;Allantoin,Safe,"Hydrating and brightening agents; generally considered safe."
